Time,Type,Skill/Condition,Hit#,Coeff,StrikeDmg,Stacks,PerStack,CondTotal,BaseDurMs,AdjDurMs,DurBonus%,WeaversProwess,ActiveTotal,Power,WeaponStr,CondDmg,InfernoPower,CritCh%,CritDmg%,CritMul,Might,Fury,VulnStacks,VulnMul,StrikeMul,BaseStrike,AddStrike,PyroMul,StormMul,BoltMul,SerratedMul,FieryMightMul,PiercingMul,FlowLikeWaterMul,ZapMul,RelicStrikeMul,CondMul,SigilCondAdd,SigilCondMul,BaseTick,TempAria,TranscTemp,ElemRage,EmpAuras,FamProwess,EmpFlame,PowOvr,PolyPow,PolyFer,Att,Att2,Extra
0.000,CAST,Rock Barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,760ms
0.760,SWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth→Air
5.760,CAST,Glyph of Elementals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air,,0ms
5.760,CAST,Overload Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air,,3200ms
8.880,HIT,Overload Air,7.1,0.85,4476,,,,,,,,,3765,1100,750,,91.095,243.533,2.308,25,true,25,1.25,1.431,1,0,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,0,150,0,0,Air,,
8.888,CAST,Lightning Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air,,0ms
8.888,HIT,Lightning Strike,1.1,1.2,6147,,,,,,,,,3765,1000,750,,91.095,243.533,2.308,25,true,25,1.25,1.531,1,0,1.07,1.07,1,1,1,1,1,1,1.07,1.25,,,,,,,,,0,150,0,0,Air,,
8.960,CAST,Arc Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air,,38ms
8.960,HIT,Lightning Jolt,1.1,2.64,5463,,,,,,,,,3765,690.5,750,,0,243.533,1,25,true,25,1.25,2.067,1.35,0.35,1.07,1.07,1,1,1,1,1,1,1.07,1.563,,,,,,,,,0,150,0,0,Air,,
8.998,CAST,Feel the Burn!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air,,0ms
8.998,CAST,Ride the Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air,,120ms
8.998,APPLY,Burning,,,,2,,,4000,7600,90,false,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feel the Burn!
8.998,HIT,Feel the Burn!,1.1,2.5,11938,,,,,,,,,3765,690.5,750,,91.095,243.533,2.308,25,true,25,1.25,2.067,1.35,0.35,1.07,1.07,1,1,1,1,1,1,1.07,1.563,,,,,,,,,0,150,0,0,Air,,
9.078,HIT,Ride the Lightning,1.1,1.5,10373,,,,,,,,,3765,1000,750,,91.095,243.533,2.308,25,true,25,1.25,2.067,1.35,0.35,1.07,1.07,1,1,1,1,1,1,1.07,1.563,,,,,,,,,0,150,0,0,Air,,
9.078,APPLY,Burning,,,,1,,,3000,5700,90,false,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burning Precision
9.118,CAST,Stone Shards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,86ms
9.121,SWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air→Earth
9.121,HIT,Earth Attunement,1.1,0,0,,,,,,,,,3765,1100,750,,91.095,233.533,2.216,25,true,25,1.25,2.067,1.35,0.35,1.07,1.07,1,1,1,1,1,1,1.07,1.563,,,,,,,,,0,150,0,0,Earth,,
9.204,CAST,Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,680ms
9.400,HIT,Overload Air,8.1,0.85,6211,,,,,,,,,3765,1100,750,,91.095,233.533,2.216,25,true,25,1.25,2.067,1.35,0.35,1.07,1.07,1,1,1,1,1,1,1.07,1.563,,,,,,,,,0,150,0,0,Earth,,
9.684,HIT,Earthquake,1.1,3,19928,,,,,,,,,3765,1000,750,,91.095,233.533,2.216,25,true,25,1.25,2.067,1.35,0.35,1.07,1.07,1,1,1,1,1,1,1.07,1.563,,,,,,,,,0,150,0,0,Earth,,
9.884,CAST,Churning Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,960ms
9.884,HIT,Churning Earth,1.1,0,0,,,,,,,,,3765,1000,750,,91.095,233.533,2.216,25,true,25,1.25,2.067,1.35,0.35,1.07,1.07,1,1,1,1,1,1,1.07,1.563,,,,,,,,,0,150,0,0,Earth,,
9.885,CAST,Hurl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,0ms
9.920,HIT,Overload Air,9.1,0.85,6211,,,,,,,,,3765,1100,750,,91.095,233.533,2.216,25,true,25,1.25,2.067,1.35,0.35,1.07,1.07,1,1,1,1,1,1,1.07,1.563,,,,,,,,,0,150,0,0,Earth,,
9.998,TICK,Burning,,,,3,646,1938,,,,,,,,750,3765,,,,25,,25,1.25,,,,,,,,,,,,,1.563,0,1,413.38,0.05,0.2,0,0,0,,,,,,,
10.185,APPLY,Bleeding,,,,1,,,8000,8000,0,false,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurl
