Time,Type,Skill/Condition,Hit#,Coeff,StrikeDmg,Stacks,PerStack,CondTotal,BaseDurMs,AdjDurMs,DurBonus%,WeaversProwess,ActiveTotal,Power,WeaponStr,CondDmg,InfernoPower,CritCh%,CritDmg%,CritMul,Might,Fury,VulnStacks,VulnMul,StrikeMul,BaseStrike,AddStrike,PyroMul,StormMul,BoltMul,SerratedMul,FieryMightMul,PiercingMul,FlowLikeWaterMul,ZapMul,RelicStrikeMul,CondMul,SigilCondAdd,SigilCondMul,BaseTick,TempAria,TranscTemp,ElemRage,EmpAuras,FamProwess,EmpFlame,PowOvr,PolyPow,PolyFer,Att,Att2,Extra
0.000,CAST,Dragon's Tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,680ms
0.680,CAST,Glyph of Storms (Fire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,960ms
1.560,APPLY,Burning,,,,1,,,2000,3800,90,false,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glyph of Storms (Fire)
1.560,HIT,Glyph of Storms (Fire),1.1,0.5,1841,,,,,,,,,4180,690.5,750,,85.462,240.96,2.205,25,true,25,1.25,1.503,1.05,0,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,150,300,0,0,Fire,,field
1.640,CAST,Relentless Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,240ms
1.840,HIT,Relentless Fire,1.1,0,0,,,,,,,,,4180,690.5,750,,85.462,240.96,2.205,25,true,25,1.25,1.503,1.05,0,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,150,300,0,0,Fire,,
1.880,CAST,Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,480ms
2.200,HIT,Phoenix,1.1,0.75,4399,,,,,,,,,4180,1000,750,,85.462,240.96,2.205,25,true,25,1.25,1.653,1.155,0.1,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,150,300,0,0,Fire,,
2.240,APPLY,Burning,,,,2,,,6000,11400,90,false,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix
2.240,HIT,Phoenix,2.1,1.7,9971,,,,,,,,,4180,1000,750,,85.462,240.96,2.205,25,true,25,1.25,1.653,1.155,0.1,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,150,300,0,0,Fire,,
2.260,HIT,Phoenix,3.1,0.75,4500,,,,,,,,,4221,1000,750,,86.87,241.991,2.233,25,true,25,1.25,1.653,1.155,0.1,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,150,300,0,0,Fire,,
2.360,CAST,Fire Grab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,560ms
2.560,APPLY,Burning,,,,1,,,2000,3800,90,false,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glyph of Storms (Fire)
2.560,HIT,Glyph of Storms (Fire),1.2,0.5,2072,,,,,,,,,4221,690.5,750,,86.87,241.991,2.233,25,true,25,1.25,1.653,1.155,0.1,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,150,300,0,0,Fire,,field
2.560,TICK,Burning,,,,4,559,2238,,,,,,,,750,4221,,,,25,,25,1.25,,,,,,,,,,,,,1.25,0,1,447.58,0,0,0,0,0,,,,,,,
2.600,APPLY,Burning,,,,1,,,10000,19000,90,false,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragon's Tooth
2.600,HIT,Dragon's Tooth,1.1,2.25,13501,,,,,,,,,4221,1000,750,,86.87,241.991,2.233,25,true,25,1.25,1.653,1.155,0.1,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,150,300,0,0,Fire,,
2.600,APPLY,Burning,,,,1,,,3000,5700,90,false,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burning Precision
2.840,HIT,Fire Grab,1.1,3.5,21002,,,,,,,,,4221,1000,750,,86.87,241.991,2.233,25,true,25,1.25,1.653,1.155,0.1,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,150,300,0,0,Fire,,
2.920,CAST,Ring of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,480ms
3.200,APPLY,Burning,,,,2,,,4000,7600,90,false,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ring of Fire
3.200,HIT,Ring of Fire,1.1,2,12001,,,,,,,,,4221,1000,750,,86.87,241.991,2.233,25,true,25,1.25,1.653,1.155,0.1,1.07,1.07,1,1,1,1,1,1,1,1.25,,,,,,,,,150,300,0,0,Fire,,
3.400,SWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire→Earth
