Time,Type,Skill/Condition,Hit#,Coeff,StrikeDmg,Stacks,PerStack,CondTotal,BaseDurMs,AdjDurMs,DurBonus%,WeaversProwess,ActiveTotal,Power,WeaponStr,CondDmg,InfernoPower,CritCh%,CritDmg%,CritMul,Might,Fury,VulnStacks,VulnMul,StrikeMul,BaseStrike,AddStrike,PyroMul,StormMul,BoltMul,SerratedMul,FieryMightMul,PiercingMul,FlowLikeWaterMul,ZapMul,RelicStrikeMul,CondMul,SigilCondAdd,SigilCondMul,BaseTick,TempAria,TranscTemp,ElemRage,EmpAuras,FamProwess,EmpFlame,PowOvr,PolyPow,PolyFer,Att,Att2,Extra
0.000,CAST,Weave Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,800ms
0.800,CAST,Signet of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,520ms
0.800,HIT,Weave Self,1.1,0,0,,,,,,,,,3261,690.5,2818,,92,163.333,1.583,25,true,25,1.25,1.545,1.1,0.1,1.07,1,1,1.05,1,1,1,1,1,1.575,,,,,,,,,150,0,200,13.333,Fire,Air,
1.240,APPLY,Burning,,,,2,,,10000,20000,100.07,true,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Signet of Fire
1.240,HIT,Signet of Fire,1.1,0.5,1060,,,,,,,,,3261,690.5,2818,,92,163.333,1.583,25,true,25,1.25,1.545,1.1,0.1,1.07,1,1,1.05,1,1,1,1,1,1.575,,,,,,,,,150,0,200,13.333,Fire,Air,
1.320,CAST,Dragon's Tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,680ms
2.000,CAST,Signet of Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,520ms
2.000,APPLY,Burning,,,,2,,,4000,8000,100.07,true,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunspot
2.000,SWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire/Air→Fire/Fire
2.000,HIT,Fire Attunement,1.1,0,0,,,,,,,,,3261,1100,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
2.000,HIT,Sunspot,1.1,0.6,855,,,,,,,,,3261,690.5,2818,,0,150,1,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,,
2.440,APPLY,Bleeding,,,,4,,,9000,16206,80.07,false,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Signet of Earth
2.440,HIT,Signet of Earth,1.1,0.5,1127,,,,,,,,,3261,690.5,2818,,92,163.333,1.583,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,13.333,Fire,Air,
2.440,APPLY,Bleeding,,,,1,,,6000,10804,80.07,false,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigil of Earth
2.440,APPLY,Bleeding,,,,3,,,10000,18007,80.07,false,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strength of Stone
2.440,APPLY,Burning,,,,2,,,8000,14405,80.07,false,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relic of Fractal
